,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
40.5,3260549.0,2665952.0,2679139.0,2640225.0,2607607.0,2624017.0,310518.0,304799.0,306870.0,307478.0,313214.0,304779.0,264871.0,261100.0,264882.0,267564.0,262925.0,259841.0,304541.0,317454.0
41.0,3268382.0,2682133.0,2694514.0,2660899.0,2616424.0,2641191.0,307219.0,302308.0,307876.0,309123.0,312299.0,305115.0,265628.0,260630.0,265878.0,264694.0,262290.0,256880.0,302833.0,316639.0
41.5,3278644.0,2690693.0,2715352.0,2680264.0,2618180.0,2653337.0,310958.0,306892.0,303728.0,308069.0,312950.0,309218.0,265650.0,258770.0,265316.0,264064.0,265000.0,259913.0,302462.0,320768.0
42.0,3293429.0,2706896.0,2719579.0,2680349.0,2644784.0,2654795.0,314371.0,303140.0,302740.0,309120.0,314118.0,309824.0,265494.0,260894.0,266274.0,263190.0,262074.0,262222.0,304636.0,321258.0
42.5,3292222.0,2702582.0,2723115.0,2690851.0,2638980.0,2679632.0,310859.0,306568.0,305982.0,305276.0,313149.0,310831.0,264824.0,257381.0,263397.0,261550.0,262741.0,259357.0,304927.0,317073.0
43.0,3305710.0,2724846.0,2731393.0,2709490.0,2658089.0,2694447.0,311599.0,307881.0,304509.0,308210.0,313858.0,314440.0,267772.0,264140.0,265513.0,263096.0,261174.0,262928.0,309130.0,323565.0
43.5,3303435.0,2726099.0,2737332.0,2705917.0,2664148.0,2692340.0,310884.0,308408.0,302815.0,308447.0,316177.0,306398.0,262960.0,259794.0,263592.0,263903.0,265588.0,262740.0,306887.0,324143.0
44.0,3290470.0,2739445.0,2749334.0,2713370.0,2675870.0,2695293.0,310498.0,307395.0,308486.0,310668.0,314020.0,308893.0,265919.0,259898.0,263730.0,262629.0,260785.0,264061.0,309932.0,321605.0
44.5,3315096.0,2728230.0,2761756.0,2729068.0,2669957.0,2699563.0,313296.0,307686.0,307708.0,305330.0,316405.0,311308.0,265966.0,260354.0,267990.0,259810.0,263810.0,262240.0,307781.0,323584.0
45.0,3302312.0,2735068.0,2767877.0,2734331.0,2684555.0,2714357.0,309808.0,309579.0,303810.0,305189.0,317187.0,310756.0,269543.0,259877.0,264398.0,262839.0,262159.0,262786.0,307864.0,318340.0
45.5,3292141.0,2750373.0,2752796.0,2739904.0,2692342.0,2707908.0,309219.0,310273.0,307421.0,311798.0,316316.0,312526.0,270109.0,266463.0,265152.0,262464.0,262682.0,260147.0,310907.0,321456.0
46.0,3292860.0,2750734.0,2765464.0,2741962.0,2681330.0,2724631.0,311152.0,307987.0,306037.0,304600.0,315123.0,312338.0,266706.0,262177.0,264909.0,262281.0,261579.0,259431.0,307595.0,321839.0
46.5,3297781.0,2756879.0,2771494.0,2747283.0,2699553.0,2711113.0,311571.0,307277.0,305356.0,307968.0,318967.0,312439.0,264654.0,263843.0,261585.0,262500.0,261934.0,259923.0,307080.0,325539.0
47.0,3294971.0,2753089.0,2766786.0,2741298.0,2689061.0,2711185.0,313475.0,309943.0,312549.0,310927.0,319769.0,307508.0,267245.0,261116.0,267490.0,264817.0,262542.0,260649.0,306011.0,326742.0
47.5,3289555.0,2761599.0,2767725.0,2742568.0,2700795.0,2704922.0,315646.0,308012.0,308610.0,305236.0,317504.0,309842.0,267904.0,262779.0,264978.0,264511.0,263987.0,260860.0,304815.0,318064.0
48.0,3274997.0,2747548.0,2764736.0,2727365.0,2693636.0,2715601.0,314227.0,309699.0,311632.0,311980.0,319193.0,309336.0,265869.0,263301.0,267263.0,258988.0,261696.0,261901.0,312176.0,322981.0
