,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
43.0,99973103.0,86849202.0,75324552.0,74309748.0,85482543.0,70409170.0,67380975.0,69141401.0,67120783.0,70242252.0,80537095.0,105456663.0,34089935.0,31829151.0,28517215.0,28635647.0,30440915.0,30248829.0,273110.0,266617.0,268731.0,267372.0,262460.0,233397.0
43.5,100831063.0,87415818.0,75370158.0,74607399.0,85810308.0,70694801.0,67542610.0,69300245.0,67568916.0,70907722.0,80890300.0,106226570.0,34219076.0,32019237.0,28696129.0,28714482.0,30641774.0,30323624.0,273066.0,270489.0,268949.0,269743.0,264546.0,234328.0
44.0,101488173.0,87568080.0,75376168.0,74801329.0,86064625.0,70757794.0,67769453.0,69576121.0,67778716.0,70998335.0,81222399.0,106941163.0,34389068.0,32218233.0,28732011.0,28842322.0,30669286.0,30379873.0,273130.0,270967.0,265085.0,268375.0,259302.0,233536.0
44.5,101960606.0,87809899.0,75477199.0,74705086.0,86301140.0,70918989.0,68070268.0,69976891.0,68250261.0,71384875.0,81654298.0,107920485.0,34604785.0,32410136.0,28852634.0,28803602.0,30790094.0,30469933.0,273116.0,266319.0,269289.0,265607.0,258550.0,234352.0
45.0,102408152.0,88238861.0,75682963.0,75041463.0,86407243.0,71052653.0,68244238.0,70117376.0,68443847.0,71880653.0,81727069.0,108901012.0,34795251.0,32463045.0,29009807.0,28909952.0,30808466.0,30617241.0,278161.0,269830.0,266912.0,268385.0,262322.0,240487.0
45.5,103002431.0,88339513.0,75755631.0,74840925.0,86283819.0,71012914.0,68335074.0,70492352.0,68635635.0,72226752.0,82494105.0,109606558.0,34869527.0,32728188.0,29066716.0,28968040.0,30950810.0,30686412.0,276707.0,269073.0,264670.0,267454.0,260486.0,239717.0
46.0,103289452.0,88737569.0,75949027.0,75287235.0,86546729.0,71192089.0,68369707.0,70551762.0,69035360.0,72500395.0,82603878.0,109875239.0,35112848.0,32800904.0,29162093.0,29100583.0,30949030.0,30769975.0,273374.0,268602.0,272839.0,268666.0,260584.0,237233.0
46.5,103930407.0,88873855.0,75870156.0,75221269.0,86750041.0,71199668.0,68711187.0,70763049.0,69178953.0,72524370.0,83074037.0,111460947.0,35251547.0,32957921.0,29267425.0,29116911.0,31017534.0,30811062.0,274690.0,273162.0,270325.0,270444.0,260825.0,235034.0
47.0,104394632.0,88814599.0,75626953.0,75156488.0,86844879.0,71340519.0,68774320.0,70985604.0,69122298.0,72672160.0,83349559.0,112328950.0,35303397.0,33096141.0,29263440.0,29143502.0,31143120.0,30710425.0,272295.0,268758.0,268901.0,267769.0,266392.0,231483.0
47.5,104862860.0,89417891.0,75826022.0,75541704.0,87147743.0,71585854.0,69101980.0,71224166.0,69531868.0,73411260.0,83697182.0,113737167.0,35505840.0,33229547.0,29439510.0,29183272.0,31187078.0,30773533.0,270323.0,265948.0,271043.0,268562.0,261289.0,237897.0
